age,gender,residing_country,education_level,employment_status,relationship_status,cohabiting_adults_no,cohabiting_kids_no,perceived_stress_level,happiness_score
55.0,Female,Guatemala,University degree,Employed,Married,3.0,0.0,high,6.434500217437744
27.0,Female,Guatemala,University degree,Employed,Married,1.0,0.0,low,6.434500217437744
40.0,Male,Costa Rica,Up to 12 years of school,Employed,Single,2.0,0.0,high,7.069399833679199
42.0,Female,Ecuador,University degree,Employed,Cohabitating,1.0,1.0,high,5.763999938964844
29.0,Female,Costa Rica,University degree,Employed,Single,0.0,0.0,high,7.069399833679199
42.0,Male,Costa Rica,Up to 12 years of school,Employed,Cohabitating,1.0,1.0,low,7.069399833679199
35.0,Female,Guatemala,University degree,Employed,Married,2.0,0.0,high,6.434500217437744
61.0,Male,Guatemala,University degree,Employed,Married,2.0,0.0,low,6.434500217437744
37.0,Male,Guatemala,University degree,Employed,Single,0.0,0.0,low,6.434500217437744
36.0,Female,Guatemala,University degree,Employed,Cohabitating,1.0,0.0,high,6.434500217437744
37.0,Female,Costa Rica,University degree,Employed,Single,0.0,0.0,low,7.069399833679199
40.0,Female,Guatemala,University degree,Employed,Married,1.0,2.0,high,6.434500217437744
25.0,Female,Costa Rica,University degree,Employed,Cohabitating,1.0,0.0,high,7.069399833679199
32.0,Male,Guatemala,University degree,Employed,Married,1.0,0.0,low,6.434500217437744
30.0,Female,Guatemala,University degree,Employed,Married,1.0,0.0,high,6.434500217437744
41.0,Female,Guatemala,Some University or equivalent,Employed,Married,3.0,1.0,high,6.434500217437744
35.0,Female,Guatemala,University degree,Employed,Dating,1.0,0.0,high,6.434500217437744
28.0,Female,Guatemala,University degree,Employed,Single,4.0,0.0,high,6.434500217437744
38.0,Male,Guatemala,University degree,Employed,Other or would not say,4.0,0.0,low,6.434500217437744
38.0,Female,Costa Rica,University degree,Employed,Single,0.0,0.0,low,7.069399833679199
33.0,Male,Guatemala,University degree,Employed,Single,1.0,0.0,low,6.434500217437744
24.0,Male,Guatemala,Some University or equivalent,Employed,Dating,3.0,0.0,high,6.434500217437744
37.0,Female,Guatemala,University degree,Employed,Married,1.0,2.0,high,6.434500217437744
22.0,Female,Guatemala,Some University or equivalent,Others,Single,3.0,0.0,low,6.434500217437744
27.0,Female,Spain,PhD / Doctorate,Employed,Cohabitating,1.0,0.0,high,6.490699768066406
39.0,Female,Slovakia,University degree,Employed,Single,0.0,0.0,low,6.330900192260742
63.0,Female,Norway,Some University or equivalent,Employed,Married,1.0,0.0,low,7.392499923706055
20.0,Female,Slovakia,Some University or equivalent,Others,Single,2.0,2.0,high,6.330900192260742
39.0,Female,Spain,University degree,Employed,Cohabitating,1.0,0.0,high,6.490699768066406
35.0,Male,Czech Republic,PhD / Doctorate,Employed,Cohabitating,1.0,0.0,low,6.964700222015381
72.0,Male,Norway,University degree,Others,Married,1.0,0.0,low,7.392499923706055
28.0,Female,Spain,University degree,Employed,Single,3.0,0.0,high,6.490699768066406
25.0,Female,Slovakia,University degree,Unemployed,Cohabitating,1.0,0.0,low,6.330900192260742
20.0,Female,Portugal,Up to 12 years of school,Others,Single,2.0,0.0,high,5.928999900817871
63.0,Female,Slovakia,University degree,Employed,Married,1.0,0.0,high,6.330900192260742
63.0,Female,Norway,Up to 12 years of school,Others,Married,0.0,0.0,low,7.392499923706055
24.0,Female,Slovakia,University degree,Employed,Dating,1.0,0.0,high,6.330900192260742
37.0,Female,Norway,University degree,Employed,Dating,0.0,0.0,low,7.392499923706055
26.0,Female,Spain,University degree,Others,Cohabitating,1.0,0.0,high,6.490699768066406
45.0,Male,Spain,PhD / Doctorate,Employed,Married,1.0,2.0,high,6.490699768066406
26.0,Female,Spain,University degree,Unemployed,Single,5.0,0.0,high,6.490699768066406
23.0,Male,Spain,Some University or equivalent,Unemployed,Single,2.0,0.0,high,6.490699768066406
34.0,Female,Spain,University degree,Unemployed,Married,1.0,2.0,low,6.490699768066406
40.0,Male,Spain,University degree,Employed,Married,1.0,2.0,low,6.490699768066406
42.0,Male,Spain,University degree,Employed,Married,2.0,0.0,high,6.490699768066406
44.0,Male,Spain,University degree,Employed,Dating,1.0,0.0,low,6.490699768066406
76.0,Female,Spain,Some University or equivalent,Others,Single,0.0,0.0,low,6.490699768066406
45.0,Female,Spain,PhD / Doctorate,Employed,Married,1.0,2.0,low,6.490699768066406
25.0,Female,Spain,University degree,Others,Dating,5.0,1.0,high,6.490699768066406
38.0,Female,Spain,PhD / Doctorate,Unemployed,Single,0.0,0.0,low,6.490699768066406
29.0,Female,Portugal,University degree,Employed,Cohabitating,1.0,0.0,high,5.928999900817871
55.0,Female,Guatemala,University degree,Employed,Widowed,2.0,0.0,low,6.434500217437744
46.0,Male,Spain,University degree,Employed,Married,1.0,2.0,low,6.490699768066406
32.0,Female,Spain,University degree,Unemployed,Single,2.0,0.0,high,6.490699768066406
70.0,Male,Spain,Up to 12 years of school,Others,Married,1.0,0.0,low,6.490699768066406
21.0,Female,Ireland,Some University or equivalent,Employed,Single,3.0,0.0,high,7.085299968719482
24.0,Female,Ireland,University degree,Employed,Dating,2.0,0.0,low,7.085299968719482
20.0,Male,Ireland,Some University or equivalent,Employed,Dating,3.0,1.0,high,7.085299968719482
19.0,Female,Ireland,Some University or equivalent,Employed,Single,4.0,0.0,low,7.085299968719482
22.0,Male,Ireland,University degree,Employed,Single,3.0,0.0,low,7.085299968719482
31.0,Male,Ireland,University degree,Employed,Single,3.0,0.0,high,7.085299968719482
21.0,Female,Ireland,Up to 12 years of school,Others,Single,0.0,0.0,high,7.085299968719482
23.0,Female,Ireland,Some University or equivalent,Others,Dating,2.0,1.0,high,7.085299968719482
49.0,Female,Ireland,University degree,Employed,Married,1.0,1.0,low,7.085299968719482
20.0,Female,Ireland,Some University or equivalent,Employed,Dating,3.0,0.0,high,7.085299968719482
25.0,Female,Ireland,Some University or equivalent,Employed,Dating,4.0,0.0,high,7.085299968719482
36.0,Female,Spain,University degree,Unemployed,Single,2.0,0.0,low,6.490699768066406
34.0,Female,Ireland,University degree,Employed,Cohabitating,1.0,0.0,high,7.085299968719482
29.0,Male,Ireland,Some University or equivalent,Others,Single,3.0,0.0,low,7.085299968719482
19.0,Female,Ireland,Some University or equivalent,Others,Single,3.0,0.0,high,7.085299968719482
20.0,Female,Ireland,Some University or equivalent,Unemployed,Single,4.0,0.0,low,7.085299968719482
23.0,Female,Ireland,University degree,Others,Dating,3.0,0.0,high,7.085299968719482
25.0,Female,Ireland,University degree,Others,Cohabitating,3.0,0.0,high,7.085299968719482
21.0,Female,Ireland,Some University or equivalent,Employed,Single,4.0,0.0,high,7.085299968719482
22.0,Female,Ireland,Some University or equivalent,Employed,Dating,1.0,0.0,high,7.085299968719482
55.0,Male,Ireland,University degree,Employed,Married,2.0,0.0,low,7.085299968719482
20.0,Female,Ireland,Some University or equivalent,Employed,Dating,2.0,1.0,high,7.085299968719482
30.0,Female,Ireland,Some University or equivalent,Others,Single,2.0,0.0,high,7.085299968719482
20.0,Female,Ireland,Some University or equivalent,Employed,Single,2.0,2.0,high,7.085299968719482
35.0,Female,Ireland,University degree,Employed,Married,0.0,0.0,high,7.085299968719482
22.0,Female,Ireland,Some University or equivalent,Employed,Dating,3.0,0.0,low,7.085299968719482
25.0,Female,Ireland,University degree,Others,Single,0.0,0.0,high,7.085299968719482
24.0,Female,Ireland,Some University or equivalent,Unemployed,Single,3.0,0.0,high,7.085299968719482
20.0,Female,Ireland,Some University or equivalent,Others,Single,2.0,0.0,high,7.085299968719482
19.0,Female,Ireland,Some University or equivalent,Employed,Single,5.0,1.0,high,7.085299968719482
33.0,Female,Ireland,University degree,Others,Cohabitating,4.0,0.0,high,7.085299968719482
20.0,Female,Ireland,Some University or equivalent,Employed,Dating,3.0,1.0,high,7.085299968719482
18.0,Female,Ireland,Some University or equivalent,Others,Single,2.0,2.0,high,7.085299968719482
24.0,Male,Ireland,University degree,Others,Single,3.0,0.0,high,7.085299968719482
21.0,Male,Ireland,Some University or equivalent,Employed,Single,2.0,1.0,high,7.085299968719482
43.0,Female,Norway,University degree,Employed,Married,1.0,2.0,low,7.392499923706055
20.0,Male,Ireland,Some University or equivalent,Employed,Single,5.0,0.0,high,7.085299968719482
19.0,Female,Ireland,Some University or equivalent,Others,Single,2.0,0.0,low,7.085299968719482
20.0,Female,Ireland,Some University or equivalent,Employed,Dating,1.0,3.0,high,7.085299968719482
48.0,Female,Spain,University degree,Employed,Married,2.0,3.0,low,6.490699768066406
23.0,Male,Ireland,Some University or equivalent,Employed,Dating,2.0,0.0,high,7.085299968719482
20.0,Male,Ireland,Some University or equivalent,Others,Single,1.0,1.0,high,7.085299968719482
29.0,Male,Ireland,PhD / Doctorate,Others,Dating,0.0,0.0,high,7.085299968719482
29.0,Male,Ireland,University degree,Employed,Cohabitating,1.0,0.0,high,7.085299968719482
23.0,Male,Ireland,University degree,Others,Single,0.0,0.0,high,7.085299968719482
20.0,Male,Ireland,Some University or equivalent,Employed,Single,2.0,0.0,high,7.085299968719482
21.0,Female,Ireland,Some University or equivalent,Others,Single,4.0,3.0,high,7.085299968719482
19.0,Female,Ireland,Some University or equivalent,Others,Single,3.0,0.0,high,7.085299968719482
20.0,Female,Ireland,University degree,Unemployed,Dating,2.0,0.0,high,7.085299968719482
62.0,Male,Spain,Some University or equivalent,Employed,Married,0.0,1.0,low,6.490699768066406
63.0,Female,Czech Republic,PhD / Doctorate,Others,Married,0.0,0.0,low,6.964700222015381
56.0,Female,Ireland,University degree,Employed,Married,1.0,0.0,low,7.085299968719482
25.0,Male,Ireland,University degree,Employed,Dating,4.0,1.0,low,7.085299968719482
32.0,Female,Ireland,University degree,Employed,Cohabitating,1.0,0.0,high,7.085299968719482
19.0,Male,Ireland,Some University or equivalent,Others,Dating,2.0,0.0,high,7.085299968719482
26.0,Female,Ireland,University degree,Others,Dating,3.0,0.0,high,7.085299968719482
24.0,Female,Ireland,University degree,Others,Dating,3.0,0.0,high,7.085299968719482
38.0,Female,Spain,University degree,Others,Single,3.0,0.0,high,6.490699768066406
20.0,Female,Ireland,Some University or equivalent,Employed,Dating,2.0,0.0,high,7.085299968719482
24.0,Female,Ireland,University degree,Others,Single,3.0,0.0,high,7.085299968719482
37.0,Female,Spain,University degree,Employed,Married,1.0,0.0,high,6.490699768066406
63.0,Male,Ireland,University degree,Employed,Married,2.0,0.0,low,7.085299968719482
21.0,Female,Ireland,Some University or equivalent,Employed,Dating,3.0,1.0,high,7.085299968719482
31.0,Female,Spain,University degree,Employed,Dating,3.0,0.0,high,6.490699768066406
38.0,Male,Ireland,University degree,Employed,Married,1.0,1.0,low,7.085299968719482
49.0,Male,Ireland,University degree,Employed,Married,1.0,2.0,low,7.085299968719482
24.0,Female,Spain,University degree,Others,Single,5.0,0.0,high,6.490699768066406
21.0,Female,Ireland,Some University or equivalent,Employed,Single,2.0,1.0,low,7.085299968719482
27.0,Female,Ireland,Some University or equivalent,Unemployed,Single,0.0,0.0,high,7.085299968719482
57.0,Male,Ireland,PhD / Doctorate,Employed,Separated / divorced,1.0,0.0,high,7.085299968719482
20.0,Male,Ireland,Some University or equivalent,Employed,Dating,2.0,3.0,low,7.085299968719482
20.0,Male,Ireland,Some University or equivalent,Employed,Single,2.0,0.0,low,7.085299968719482
29.0,Female,Ireland,University degree,Employed,Married,1.0,0.0,high,7.085299968719482
40.0,Female,Ireland,University degree,Employed,Married,1.0,2.0,low,7.085299968719482
25.0,Female,Ireland,University degree,Others,Dating,1.0,0.0,high,7.085299968719482
20.0,Male,Ireland,Some University or equivalent,Others,Single,2.0,0.0,low,7.085299968719482
30.0,Female,Ireland,University degree,Others,Dating,0.0,0.0,high,7.085299968719482
28.0,Male,Ireland,University degree,Others,Dating,2.0,0.0,low,7.085299968719482
25.0,Male,Ireland,University degree,Employed,Dating,2.0,0.0,low,7.085299968719482
26.0,Male,Ireland,University degree,Others,Dating,2.0,0.0,high,7.085299968719482
26.0,Female,Ecuador,University degree,Employed,Single,4.0,0.0,low,5.763999938964844
51.0,Female,Ireland,University degree,Employed,Single,0.0,0.0,low,7.085299968719482
38.0,Female,Spain,University degree,Employed,Married,1.0,2.0,low,6.490699768066406
34.0,Female,Ireland,University degree,Others,Cohabitating,1.0,0.0,high,7.085299968719482
20.0,Female,Ireland,Some University or equivalent,Others,Single,2.0,0.0,high,7.085299968719482
34.0,Female,Ireland,University degree,Others,Single,2.0,0.0,high,7.085299968719482
41.0,Male,Ireland,University degree,Others,Married,1.0,1.0,low,7.085299968719482
39.0,Female,Ireland,University degree,Employed,Married,1.0,2.0,low,7.085299968719482
30.0,Female,Ireland,University degree,Others,Single,3.0,0.0,high,7.085299968719482
40.0,Female,Spain,University degree,Employed,Single,1.0,0.0,low,6.490699768066406
44.0,Male,Ireland,University degree,Employed,Married,1.0,2.0,low,7.085299968719482
20.0,Male,Ireland,Some University or equivalent,Employed,Single,2.0,2.0,high,7.085299968719482
31.0,Female,Guatemala,University degree,Employed,Cohabitating,1.0,2.0,high,6.434500217437744
38.0,Female,Costa Rica,University degree,Employed,Single,1.0,0.0,high,7.069399833679199
24.0,Female,Ireland,University degree,Others,Single,1.0,0.0,high,7.085299968719482
53.0,Male,Spain,Some University or equivalent,Employed,Cohabitating,3.0,2.0,low,6.490699768066406
28.0,Female,Ireland,University degree,Employed,Cohabitating,1.0,0.0,high,7.085299968719482
33.0,Female,Guatemala,University degree,Employed,Married,1.0,0.0,low,6.434500217437744
22.0,Female,Ireland,University degree,Others,Single,3.0,1.0,high,7.085299968719482
40.0,Male,Spain,University degree,Employed,Cohabitating,1.0,0.0,low,6.490699768066406
47.0,Female,Norway,PhD / Doctorate,Employed,Married,1.0,1.0,high,7.392499923706055
31.0,Male,Spain,Some University or equivalent,Employed,Single,0.0,0.0,low,6.490699768066406
44.0,Female,Ireland,PhD / Doctorate,Employed,Single,3.0,0.0,high,7.085299968719482
31.0,Female,Ireland,PhD / Doctorate,Unemployed,Cohabitating,1.0,1.0,high,7.085299968719482
34.0,Male,Spain,University degree,Employed,Married,1.0,1.0,low,6.490699768066406
19.0,Female,Ireland,Some University or equivalent,Employed,Single,4.0,1.0,low,7.085299968719482
48.0,Male,Spain,University degree,Employed,Married,1.0,1.0,low,6.490699768066406
55.0,Male,Spain,University degree,Employed,Married,1.0,1.0,high,6.490699768066406
46.0,Male,Spain,University degree,Employed,Married,1.0,2.0,high,6.490699768066406
46.0,Male,Spain,University degree,Employed,Single,0.0,0.0,high,6.490699768066406
21.0,Female,Spain,Some University or equivalent,Others,Dating,0.0,0.0,low,6.490699768066406
21.0,Female,Spain,University degree,Unemployed,Dating,1.0,0.0,high,6.490699768066406
40.0,Female,Spain,University degree,Employed,Married,1.0,2.0,low,6.490699768066406
40.0,Female,Spain,Some University or equivalent,Employed,Cohabitating,1.0,0.0,high,6.490699768066406
50.0,Male,Spain,Some University or equivalent,Employed,Married,1.0,2.0,low,6.490699768066406
32.0,Female,Slovakia,University degree,Employed,Married,1.0,1.0,low,6.330900192260742
35.0,Female,Spain,University degree,Employed,Cohabitating,1.0,1.0,high,6.490699768066406
31.0,Male,Spain,Some University or equivalent,Employed,Single,0.0,0.0,low,6.490699768066406
67.0,Female,Spain,University degree,Others,Widowed,0.0,0.0,high,6.490699768066406
28.0,Male,Spain,University degree,Employed,Dating,3.0,0.0,high,6.490699768066406
30.0,Female,Spain,University degree,Employed,Married,1.0,0.0,low,6.490699768066406
35.0,Female,Spain,University degree,Employed,Single,2.0,0.0,high,6.490699768066406
38.0,Female,Spain,University degree,Unemployed,Cohabitating,1.0,1.0,high,6.490699768066406
21.0,Male,Spain,University degree,Others,Single,2.0,0.0,high,6.490699768066406
21.0,Male,Ireland,Some University or equivalent,Employed,Single,3.0,1.0,low,7.085299968719482
30.0,Male,Spain,University degree,Employed,Cohabitating,1.0,0.0,high,6.490699768066406
40.0,Female,Spain,University degree,Employed,Single,0.0,0.0,low,6.490699768066406
28.0,Female,Ireland,University degree,Others,Single,2.0,0.0,high,7.085299968719482
19.0,Male,Ireland,Some University or equivalent,Unemployed,Single,3.0,0.0,high,7.085299968719482
49.0,Male,Spain,University degree,Employed,Married,1.0,2.0,low,6.490699768066406
40.0,Female,Norway,University degree,Employed,Married,1.0,3.0,low,7.392499923706055
39.0,Female,Spain,University degree,Employed,Married,1.0,0.0,low,6.490699768066406
26.0,Male,Spain,PhD / Doctorate,Employed,Single,3.0,0.0,low,6.490699768066406
19.0,Male,Ireland,Some University or equivalent,Employed,Single,0.0,0.0,high,7.085299968719482
34.0,Female,Spain,University degree,Employed,Married,1.0,0.0,high,6.490699768066406
27.0,Female,Spain,PhD / Doctorate,Employed,Single,0.0,0.0,low,6.490699768066406
55.0,Female,Spain,Some University or equivalent,Unemployed,Separated / divorced,0.0,0.0,high,6.490699768066406
34.0,Male,Spain,University degree,Employed,Single,0.0,0.0,high,6.490699768066406
36.0,Female,Spain,University degree,Employed,Cohabitating,1.0,0.0,high,6.490699768066406
63.0,Female,Guatemala,University degree,Employed,Married,1.0,0.0,low,6.434500217437744
22.0,Female,Ireland,University degree,Others,Single,3.0,0.0,high,7.085299968719482
54.0,Male,Ireland,University degree,Employed,Married,5.0,2.0,high,7.085299968719482
42.0,Male,Spain,Some University or equivalent,Employed,Dating,2.0,0.0,high,6.490699768066406
19.0,Female,Ireland,Some University or equivalent,Others,Single,3.0,0.0,high,7.085299968719482
55.0,Female,Spain,University degree,Unemployed,Separated / divorced,1.0,0.0,low,6.490699768066406
32.0,Male,Spain,University degree,Employed,Cohabitating,1.0,0.0,low,6.490699768066406
41.0,Male,Spain,University degree,Employed,Married,1.0,2.0,low,6.490699768066406
38.0,Male,Spain,Some University or equivalent,Employed,Single,0.0,0.0,high,6.490699768066406
43.0,Male,Spain,Some University or equivalent,Employed,Married,1.0,1.0,high,6.490699768066406
44.0,Female,Spain,University degree,Unemployed,Dating,1.0,0.0,low,6.490699768066406
53.0,Male,Spain,Some University or equivalent,Employed,Married,3.0,0.0,high,6.490699768066406
45.0,Male,Spain,Some University or equivalent,Unemployed,Married,1.0,2.0,low,6.490699768066406
22.0,Female,Ireland,University degree,Others,Single,3.0,1.0,low,7.085299968719482
28.0,Male,Spain,Some University or equivalent,Employed,Single,0.0,0.0,low,6.490699768066406
36.0,Male,Ireland,University degree,Others,Dating,4.0,0.0,high,7.085299968719482
44.0,Female,Spain,Some University or equivalent,Employed,Married,1.0,0.0,high,6.490699768066406
46.0,Female,Ireland,University degree,Employed,Married,0.0,4.0,low,7.085299968719482
37.0,Female,Spain,University degree,Employed,Single,0.0,0.0,high,6.490699768066406
26.0,Male,Ecuador,University degree,Employed,Single,2.0,3.0,low,5.763999938964844
23.0,Female,Ecuador,Some University or equivalent,Others,Single,2.0,0.0,high,5.763999938964844
20.0,Male,Ireland,Some University or equivalent,Others,Single,2.0,1.0,low,7.085299968719482
28.0,Female,Ireland,University degree,Employed,Cohabitating,2.0,0.0,low,7.085299968719482
40.0,Female,Spain,University degree,Employed,Single,0.0,0.0,low,6.490699768066406
65.0,Female,Guatemala,University degree,Employed,Single,0.0,0.0,high,6.434500217437744
24.0,Female,Ireland,University degree,Others,Single,3.0,0.0,low,7.085299968719482
38.0,Male,Spain,University degree,Employed,Cohabitating,1.0,1.0,high,6.490699768066406
35.0,Male,Spain,University degree,Employed,Married,1.0,1.0,high,6.490699768066406
39.0,Female,Spain,University degree,Employed,Cohabitating,1.0,2.0,low,6.490699768066406
31.0,Male,Spain,Some University or equivalent,Employed,Single,1.0,0.0,high,6.490699768066406
42.0,Female,Spain,University degree,Unemployed,Single,2.0,0.0,high,6.490699768066406
34.0,Male,Spain,University degree,Others,Dating,0.0,0.0,low,6.490699768066406
42.0,Male,Spain,Some University or equivalent,Employed,Married,1.0,1.0,high,6.490699768066406
23.0,Male,Ecuador,Some University or equivalent,Others,Single,0.0,0.0,high,5.763999938964844
36.0,Female,Spain,University degree,Employed,Cohabitating,1.0,0.0,high,6.490699768066406
39.0,Female,Ireland,University degree,Others,Married,1.0,1.0,high,7.085299968719482
65.0,Female,Guatemala,University degree,Employed,Married,3.0,0.0,low,6.434500217437744
30.0,Male,Ecuador,University degree,Employed,Cohabitating,5.0,1.0,low,5.763999938964844
72.0,Male,Spain,PhD / Doctorate,Others,Separated / divorced,0.0,0.0,low,6.490699768066406
38.0,Female,Spain,University degree,Employed,Dating,0.0,0.0,low,6.490699768066406
25.0,Male,Spain,Some University or equivalent,Employed,Dating,1.0,0.0,low,6.490699768066406
24.0,Female,Ireland,University degree,Unemployed,Cohabitating,1.0,0.0,low,7.085299968719482
20.0,Male,Ireland,Some University or equivalent,Others,Single,3.0,0.0,low,7.085299968719482
31.0,Male,Spain,University degree,Unemployed,Single,0.0,0.0,low,6.490699768066406
25.0,Male,Spain,University degree,Unemployed,Single,3.0,0.0,high,6.490699768066406
55.0,Female,Ireland,University degree,Employed,Separated / divorced,2.0,0.0,high,7.085299968719482
18.0,Female,Spain,Up to 12 years of school,Others,Single,3.0,0.0,high,6.490699768066406
21.0,Male,Ireland,Some University or equivalent,Others,Single,4.0,0.0,low,7.085299968719482
58.0,Male,Spain,Some University or equivalent,Employed,Separated / divorced,0.0,0.0,low,6.490699768066406
28.0,Female,Guatemala,University degree,Employed,Single,3.0,0.0,high,6.434500217437744
35.0,Female,Spain,Some University or equivalent,Unemployed,Married,1.0,2.0,high,6.490699768066406
28.0,Male,Spain,Some University or equivalent,Unemployed,Single,2.0,0.0,high,6.490699768066406
37.0,Male,Ireland,University degree,Employed,Married,1.0,0.0,high,7.085299968719482
23.0,Female,Ecuador,Some University or equivalent,Others,Single,0.0,0.0,high,5.763999938964844
37.0,Male,Spain,University degree,Employed,Cohabitating,1.0,0.0,low,6.490699768066406
65.0,Female,Guatemala,University degree,Others,Married,0.0,0.0,low,6.434500217437744
43.0,Female,Spain,Some University or equivalent,Employed,Single,0.0,0.0,high,6.490699768066406
75.0,Female,Spain,Up to 12 years of school,Others,Married,1.0,0.0,low,6.490699768066406
28.0,Female,Ireland,University degree,Employed,Single,3.0,0.0,high,7.085299968719482
23.0,Female,Spain,University degree,Others,Single,3.0,0.0,high,6.490699768066406
20.0,Female,Malaysia,Some University or equivalent,Others,Single,5.0,1.0,high,5.384300231933594
26.0,Female,Spain,Up to 12 years of school,Employed,Dating,0.0,0.0,high,6.490699768066406
37.0,Male,Spain,University degree,Employed,Married,1.0,0.0,low,6.490699768066406
48.0,Male,Spain,Some University or equivalent,Unemployed,Single,1.0,0.0,low,6.490699768066406
47.0,Female,Ireland,University degree,Employed,Married,1.0,2.0,low,7.085299968719482
63.0,Male,Spain,Some University or equivalent,Employed,Married,2.0,0.0,low,6.490699768066406
19.0,Female,Italy,Some University or equivalent,Employed,Single,3.0,1.0,low,6.483099937438965
26.0,Female,Norway,University degree,Employed,Cohabitating,1.0,0.0,low,7.392499923706055
61.0,Male,Guatemala,Some University or equivalent,Unemployed,Single,0.0,0.0,low,6.434500217437744
19.0,Male,Ireland,Some University or equivalent,Others,Dating,0.0,1.0,low,7.085299968719482
65.0,Female,Guatemala,University degree,Unemployed,Married,1.0,0.0,high,6.434500217437744
28.0,Male,Ireland,University degree,Others,Single,1.0,0.0,high,7.085299968719482
26.0,Female,Ireland,University degree,Employed,Dating,2.0,0.0,high,7.085299968719482
28.0,Female,Ireland,University degree,Employed,Married,2.0,0.0,low,7.085299968719482
45.0,Female,Spain,University degree,Employed,Married,1.0,2.0,low,6.490699768066406
25.0,Male,Guatemala,University degree,Unemployed,Single,2.0,0.0,high,6.434500217437744
21.0,Male,Ireland,Some University or equivalent,Employed,Single,2.0,1.0,low,7.085299968719482
22.0,Female,Ireland,Some University or equivalent,Employed,Dating,3.0,0.0,high,7.085299968719482
54.0,Male,Spain,University degree,Unemployed,Married,4.0,1.0,low,6.490699768066406
53.0,Female,Norway,University degree,Employed,Cohabitating,2.0,0.0,low,7.392499923706055
54.0,Male,Spain,University degree,Employed,Married,1.0,0.0,low,6.490699768066406
28.0,Male,Spain,Some University or equivalent,Others,Other or would not say,0.0,0.0,low,6.490699768066406
